#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced;Balanced war strategy;Stratégie de guerre équilibrée;Ausgewogene Kriegsstrategie;;Estrategia equilibrada de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced_desc;This character has opted for a balanced war strategy, conferring no benefits or penalties.;Ce personnage a opté pour une stratégie de guerre équilibrée, ne conférant aucun avantage ni pénalité.;Dieser Charakter hat sich für eine ausgewogene Kriegsstrategie entschieden, die keine Vorteile oder Strafen verleiht.;;Este personaje ha optado por una estrategia de guerra equilibrada, que no otorga beneficios ni sanciones.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack;Assault war strategy;Stratégie de guerre d'assaut;Angriffskriegsstrategie;;Estrategia de guerra de asalto;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack_desc;The artillery is readied, the garrisons left lightly armoured, and the men have been outfitted with heavy weaponry and drilled in the charge. This character clearly means to attack their opponents head on.;Les hommes ont été équipés d'armes lourdes, favorisant les cuirasses et les faunes sur l'armure arrière, et les moteurs de siège sont préparés. Ce personnage signifie clairement attaquer leurs adversaires en tête.;Die Männer sind mit schweren Waffen ausgestattet, begünstigen Kürassiere und Fappen über die Rückenpanzerung, und die Belagerungsmotoren sind vorbereitet. Dieser Charakter bedeutet eindeutig, um ihre Gegner anzugreifen.;;Los hombres han sido equipados con armamento pesado, favoreciendo las corazas y faulds sobre la armadura trasera, y los motores del asedio se preparan. Este personaje claramente significa atacar a sus oponentes de frente.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend;Defend war strategy;Stratégie de guerre défensive;Defensive Kriegsstrategie;;Estrategia de guerra defensiva;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend_desc;This character has called for trenches to be built, holdfasts to be made strong and men to stand fast. The enemy are most unwelcome on their land.;Ce personnage a ordonné que les holdfasts soient forts, que l'armure soit forgée d'épaisseur et que les hommes se tiennent debout. Les ennemis sont les plus indésirables sur leurs terres.;Dieser Charakter hat befohlen, dass die Festhalten stark gemacht werden, die Rüstung, um dick zu werden und die Männer schnell zu stehen. Der Feind ist auf ihrem Land am meisten unerwünscht.;;Este personaje ha ordenado que se hagan fuertes, que las armaduras sean forjadas y que los hombres se mantengan firmes. El enemigo no es bienvenido en su tierra.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick;Storm war strategy;Stratégie de guerre des tempêtes;Sturmkriegstrategie;;Estrategia de guerra de tormenta;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick_desc;Soldiers travel light and the quartermasters stock few provisions, but this is no enforced shortage. The men are equipped and drilled for one purpose: to stike deep into enemy heartlands in one crushing blow.;Les Warriors voyagent de la lumière et les quartermasters stockent peu de provisions, mais ce n'est pas une pénurie forcée. Les hommes sont équipés et forés dans un seul but: incliner profondément dans les champs de l'ennemi en un seul coup écrasant.;Krieger reisen Licht und die Quartiermeister haben nur wenige Bestimmungen, aber das ist kein erzwungener Mangel. Die Männer sind ausgerüstet und gebohrt für einen Zweck: tief in feindliche Herzfälle in einem zerquetschenden Schlag zu treten.;;Los guerreros viajan ligeros y los quartermasters almacenan pocas provisiones, pero esto no es una escasez forzada. Los hombres están equipados y perforados para un propósito: penetrar profundamente en las tierras enemigas en un golpe aplastante.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition;Organised war strategy;Stratégie de guerre organisée;Organisierte Kriegsstrategie;;Estrategia de guerra organizada;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition_desc;This character has focussed their war efforts on supply logistics and siege readiness, in preparation for a war of attrition.;Ce personnage a concentré ses efforts de guerre sur la logistique de l'approvisionnement et la préparation au siège, en prévision d'une guerre d'attrition.;Dieser Charakter hat sich auf die Kriegsbemühungen auf die Angebotslogistik und die Belagerungsbereitschaft konzentriert, um einen Abrisskrieg vorzubereiten.;;Este personaje ha centrado sus esfuerzos de guerra en la logística de suministro y la preparación para el asedio, en preparación para una guerra de desgaste.;;;;;;;;;x;,,,,,,,,,,
### DECISIONS ###
robmodcombat_battlefield_position_first;Select your battlefield position;Sélectionnez votre position de champ de bataille;Wähle deine Schlachtfeldposition;;Seleccione su campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_first_desc;Although all rulers are expected to put their lives at risk by fighting with their men, there are many different positions one can take on the battlefield. Each holds different levels of risk and prestige.;Bien que tous les dirigeants puissent mettre leur vie en danger en se battant avec leurs hommes, il existe de nombreuses positions différentes sur le champ de bataille. Chacun détient différents niveaux de risque et de prestige.;Obwohl alle Herrscher erwartet werden, ihr Leben in Gefahr zu setzen, indem sie mit ihren Männern kämpfen, gibt es viele verschiedene Positionen, die man auf dem Schlachtfeld nehmen kann. Jeder hält unterschiedliche Risiko und Prestige.;;Aunque se espera que todos los gobernantes pongan en peligro sus vidas luchando con sus hombres, hay muchas posiciones diferentes que uno puede tomar en el campo de batalla. Cada uno tiene diferentes niveles de riesgo y prestigio.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_position_cooldown_tt;Has not been forced to change battlefield position in the last 5 years;N'a pas été contraint de changer la position du champ de bataille au cours des 5 dernières années.;In den letzten 5 Jahren ist es nicht gezwungen worden, die Schlachtfeldposition zu ändern.;;No se ha visto obligado a cambiar de posición en el campo de batalla en los últimos 5 años.;;;;;;;;;x;,,,,,,,,,,
set_battlefield_position_tt;Call in your commanders and notify them as to what position you will be taking up on the battlefield;Appelez vos commandants et informez-les de la position que vous occuperez sur le champ de bataille;Rufen Sie Ihre Kommandanten an und benachrichtigen Sie, welche Position Sie auf dem Schlachtfeld nehmen werden;;Llame a sus comandantes y notifíqueles en cuanto a qué posición usted tomará en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change;Change your battlefield position;Changez votre position de champ de bataille;Ändern Sie Ihre Schlachtfeldposition;;Cambia tu posición en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change_desc;You may change your position on the battlefield any time you are at war. Useful if for any reason you want to protect yourself from harm, or conversely improve your chances of gaining glory on the battlefield.;Vous pouvez changer votre position sur le champ de bataille à tout moment. Utile si, pour quelque raison que ce soit, vous voulez vous protéger du mal ou, à l'inverse, améliorer vos chances de gagner la gloire sur le champ de bataille.;Sie können jederzeit Ihre Position auf dem Schlachtfeld ändern. Nützlich, wenn aus irgendeinem Grund du dich vor Schaden schützen willst, oder umgekehrt deine Chancen auf den Ruhm auf dem Schlachtfeld zu verbessern.;;Usted puede cambiar su posición en el campo de batalla en cualquier momento. Útil si por cualquier razón usted quiere protegerse de daño, o por el contrario mejorar sus posibilidades de ganar gloria en el campo de batalla.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy;Set your war strategy;Définissez votre stratégie de guerre;Setze deine Kriegsstrategie ein;;Defina su estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_desc;Defining your war strategy outfits your troops and other military apparatus to best suit your current situation. The various options will confer certain benefits to your armies, but each also has drawbacks.;Vous pouvez changer votre stratégie de guerre pour mieux répondre à votre situation actuelle. Les différentes options conféreront certains avantages à vos armées, mais elles présentent également des inconvénients.;Sie können Ihre Kriegsstrategie ändern, um Ihrer aktuellen Situation am besten zu entsprechen. Die verschiedenen Optionen verleihen Ihren Armeen gewisse Vorteile, aber jeder hat auch Nachteile.;;Puede cambiar su estrategia de guerra para que se adapte mejor a su situación actual. Las diversas opciones confieren ciertos beneficios a sus ejércitos, pero cada uno también tiene inconvenientes.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_cooldown_tt;Has NOT changed war stategy in the last year;N'a PAS changé la stratégie de guerre au cours de la dernière année;Hat im letzten Jahr die Kriegsstrategie nicht geändert;;NO ha cambiado la estrategia de guerra en el último año;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_liege_tt;Has NOT had your current war strategy set by your liege;N'a PAS eu votre stratégie de guerre fixée par votre liege;Hatte NICHT Ihre Kriegsstrategie von deinem Lied gesetzt;;NO ha tenido su estrategia de guerra establecida por su señor;;;;;;;;;x;,,,,,,,,,,
set_war_strategy_tt;Call in your commanders to discuss the war strategy;Appelez vos commandants pour discuter de la stratégie de guerre;Rufen Sie in Ihren Kommandanten auf, um die Kriegsstrategie zu besprechen;;Llame a sus comandantes para discutir la estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
### NICKNAMES ###
nick_the_warrior;the Warrior;le Guerrier;der Krieger;;el Guerrero;;;;;x
nick_swordarm;Sword-Arm;Bras à l'Épée;Schwertarm;;Brazo de Espada;;;;;x
nick_weakarm;Weak-Arm;Bras Faible;Schwacharm;;Brazo Débil;;;;;x
nick_the_leader;War-Leader;Chef de Guerre;Kriegsführer;;Líder de Guerra;;;;;x
nick_the_afraid;the Coward;le Lâche;der Feigling;;el cobarde;;;;;x
nick_the_timid;the Timid;le Timide;die Schüchterne;;el Tímido;;;;;x
### MODIFIERS ###
# CHARACTER #
robmodcombat_inspired_men;Inspirational charge;Charge inspiratoire;Inspirationsgebühr;;Carga inspiradora;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20012_NYCH;Your [GetFromRelation] [From.GetFirstName] has been sullen towards you for some time, and tonight you demand to know what's wrong. "My dear," [From.GetSheHe] begins through gritted teeth, "I am your husband, and although you are a [Root.PrimaryTitle.GetRulerTitle], I am still responsible for your safety. But as you seem to have a death wish on the battlefield, I fear I will be a widower before long.";Votre [GetFromRelation] [From.GetFirstName] a été sombre envers vous pendant un certain temps, et ce soir, vous demandez de savoir ce qui ne va pas. "Mon cher", [From.GetSheHe] commence par des dents serrées, "Je suis votre mari, et bien que vous soyez [Root.PrimaryTitle.GetRulerTitle], je suis toujours responsable de votre sécurité. Mais puisque vous semblez avoir un décès Je souhaite sur le champ de bataille, je crains d'être un veuf avant longtemps.";Dein [GetFromRelation] [From.GetFirstName] ist seit einiger Zeit mürrisch, und heute Abend verlangst du zu wissen, was falsch ist "Mein Lieber," Von "GentSheHe" beginnt mit knirschenden Zähnen: "Ich bin dein Mann, und obwohl du ein [Root.PrimaryTitle.GetRulerTitle] bist, bin ich immer noch für deine Sicherheit verantwortlich, aber da hast du einen Tod zu haben Wünsche auf dem Schlachtfeld, ich fürchte, ich werde lange Witwer sein.";;Su [GetFromRelation] [From.GetFirstName] ha sido hosco hacia usted durante algún tiempo, y esta noche usted demanda saber lo que está mal. "Mi querida", [De ... Come] comienza con los dientes apretados, "Yo soy tu esposo, y aunque eres un [Root.PrimaryTitle.GetRulerTitle], todavía soy responsable de tu seguridad.Pero ya que pareces tener una muerte Deseo en el campo de batalla, temo que seré viudo en poco tiempo".;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20012;"My dear, if I do not risk my life then why should my men?";"Mais si je ne risque pas ma vie alors, pourquoi mes hommes devraient-ils?";"Aber wenn ich mein Leben nicht riskiere, warum sollten meine Männer?";;"Pero si no arriesgo mi vida, ¿por qué deberían mis hombres?";;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20015_HC;At court today, you are delighted to hear a ballad recited praising your brave deeds in battle during the recent war. Everyone applauds its conclusion - everyone except [From.GetTitledFirstName] that is. Instead, [From.GetSheHe] says "well you might all be impressed that the [Root.PrimaryTitle.GetRulerTitle] seems intent on an early death. But those of us who care for the [Root.PrimaryTitle.GetBaseName] are more concerned about the chaos that would follow such an event, with [Root.PrimaryTitle.GetBaseName] left in the hands of a child. The [Root.PrimaryTitle.GetRulerTitle] a hero? Pah! A vainglorious fool, I call [Root.GetHerHim]!";À la cour aujourd'hui, vous êtes ravi d'entendre une ballade récitée en faisant l'éloge de vos actes courageux lors d'une guerre récente. Tout le monde applaudit sa conclusion - tout le monde sauf [From.GetTitledFirstName] qui est. Au lieu de cela, [From.GetSheHe] dit "bien, vous pourriez tous être impressionnés que le [Root.PrimaryTitle.GetRulerTitle] semble voué à un décès précoce. Mais ceux d'entre nous qui s'occupent de [Root.PrimaryTitle.GetBaseName] sont plus préoccupés par Le chaos qui suivrait un tel événement, avec [Root.PrimaryTitle.GetBaseName] laissé entre les mains d'un enfant! Le [Root.PrimaryTitle.GetRulerTitle] un héros? Pah! Un imbécile vaillant, j'appelle [Root.GetHerHim]!";Auf Hof heute, sind Sie erfreut, eine Balade zu hören, die Ihre mutigen Taten in der Schlacht während des letzten Krieges lobte. Jeder applaudiert seine Schlussfolgerung - jeder außer [From.GetTitledFirstName] das ist. Stattdessen sagt [From.GetSheHe] "gut, Sie könnten alle beeindruckt sein, dass die [Root.PrimaryTitle.GetRulerTitle] auf einen frühen Tod vorsieht, aber die von uns, die sich um die [Root.PrimaryTitle.GetBaseName] kümmern, sind besorgt um Das Chaos, das einem solchen Ereignis folgen würde, mit [Root.PrimaryTitle.GetBaseName] links in den Händen eines Kindes! Der Root.PrimaryTitle.GetRulerTitle] ein Held? Pah! Ein vainglorious Narr, ich nenne [Root.GetHerHim]!";;En la corte de hoy, usted está encantado de escuchar una balada recitada alabando sus acciones valientes en la batalla durante la reciente guerra. Todo el mundo aplaude su conclusión - todo el mundo excepto [From.GetTitledFirstName] que es. En su lugar, [From.GetSheHe] dice: "Bueno, a todos ustedes les impresionará que el [Root.PrimaryTitle.GetRulerTitle] parezca intencionado en una muerte prematura. Pero aquellos de nosotros que se preocupan por el [Root.PrimaryTitle.GetBaseName] están más preocupados El caos que seguiría tal acontecimiento, con [Root.PrimaryTitle.GetBaseName] dejado en las manos de un niño! El [Root.PrimaryTitle.GetRulerTitle] un héroe? Pah! Un tonto vainglorious, yo llamo [Root.GetHerHim]! ";;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20015_HA;At court today, you are delighted to hear a ballad recited praising your brave deeds in battle during the recent war. Everyone applauds its conclusion - everyone except [From.GetTitledFirstName] that is. Instead, [From.GetSheHe] says "well you might all be impressed that the [Root.PrimaryTitle.GetRulerTitle] seems intent on an early death. But those of us who care for the [Root.PrimaryTitle.GetBaseName] are more concerned about the chaos that would follow such an event. The [Root.PrimaryTitle.GetRulerTitle] a hero? Pah! A vainglorious fool, I call [Root.GetHerHim]!";À la cour aujourd'hui, vous êtes ravi d'entendre une ballade récitée en faisant l'éloge de vos actes courageux lors d'une guerre récente. Tout le monde applaudit sa conclusion - tout le monde sauf [From.GetTitledFirstName] qui est. Au lieu de cela, [From.GetSheHe] dit "bien, vous pourriez tous être impressionnés que le [Root.PrimaryTitle.GetRulerTitle] semble voué à un décès précoce. Mais ceux d'entre nous qui s'occupent de [Root.PrimaryTitle.GetBaseName] sont plus préoccupés par Le chaos qui suivrait un tel événement. Le [Root.PrimaryTitle.GetRulerTitle] un héros? Pah! Un imbécile vaillant, j'appelle [Root.GetHerHim]!";Auf Hof heute, sind Sie erfreut, eine Balade zu hören, die Ihre mutigen Taten in der Schlacht während des letzten Krieges lobte. Jeder applaudiert seine Schlussfolgerung - jeder außer [From.GetTitledFirstName] das ist. Stattdessen sagt [From.GetSheHe] "gut, Sie könnten alle beeindruckt sein, dass die [Root.PrimaryTitle.GetRulerTitle] auf einen frühen Tod vorsieht, aber die von uns, die sich um die [Root.PrimaryTitle.GetBaseName] kümmern, sind besorgt um Das Chaos, das einem solchen Ereignis folgen würde. Der Root.PrimaryTitle.GetRulerTitle] ein Held? Pah! Ein vainglorious Narr, ich nenne [Root.GetHerHim]!";;En la corte de hoy, usted está encantado de escuchar una balada recitada alabando sus acciones valientes en la batalla durante la reciente guerra. Todo el mundo aplaude su conclusión - todo el mundo excepto [From.GetTitledFirstName] que es. En su lugar, [From.GetSheHe] dice: "Bueno, a todos ustedes les impresionará que el [Root.PrimaryTitle.GetRulerTitle] parezca intencionado en una muerte prematura. Pero aquellos de nosotros que se preocupan por el [Root.PrimaryTitle.GetBaseName] están más preocupados El caos que seguiría tal acontecimiento. El [Root.PrimaryTitle.GetRulerTitle] un héroe? Pah! Un tonto vainglorious, yo llamo [Root.GetHerHim]! ";;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20015;"Perhaps I am, [From.GetTitledFirstName], but a brave fool nonetheless!";"Peut-être que je suis, [From.GetTitledFirstName], mais un courageux néanmoins!";"Vielleicht bin ich, [von.GetFirstName], aber ein tapferer Narr dennoch!";;"Tal vez lo soy, [From.GetFirstName], pero un tonto valiente, sin embargo!";;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPA_ROBMODCOMBAT_20015;Try to play down the insult with humour;Essayez de détruire l'insulte avec humour;Versuche, die Beleidigung mit Humor zu spielen;;Trate de minimizar el insulto con humor;;;;;;;;;x;,,,,,,,,,,
EVTOPTB_ROBMODCOMBAT_20015;"How dare you! Leave my court at once.";"Comment osez-vous! Laissez mon cours tout de suite.";"Wie kannst du es wagen, mein Gericht sofort zu verlassen.";;"¡Cómo te atreves! Sal de mi corte de inmediato.";;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20018;You dine tonight with [From.GetTitledFirstName] and [From.GetHerHis] entourage. Talk soon turns to the recent war, and [From.GetFirstName] begins recounting battle stories. "And, I'm told, the [Root.PrimaryTitle.GetRulerTitle] was right there at the heart of battle. Or, at least, at the heart of [Root.GetHerHis] guard!" It is said in jest, but it is clear that word has spread of your less than prominent role in battle...;Vous dînez ce soir avec [From.GetTitledFirstName] et [From.GetHerHis] entourage. Talk se tourne bientôt vers la guerre récente, et [From.GetFirstName] commence à réciter les histoires de combat. "Et, on me dit, le [Root.PrimaryTitle.GetRulerTitle] était là-bas au cœur de la bataille. Ou, au moins, au cœur de [Root.GetHerHis] garde!" C'est dit avec plaisanterie, mais il est clair que le mot a répandu votre rôle moins important dans la bataille...;Du isst heute Abend mit [From.GetTitledFirstName] und [From.GetHerHis] Entourage. Sprechen bald wendet sich an den letzten Krieg, und [From.GetFirstName] beginnt zu erzählen Schlachtgeschichten. "Und es wurde mir gesagt, dass die [Root.PrimaryTitle.GetRulerTitle] genau dort im Herzen der Schlacht war, oder zumindest im Herzen von [Root.GetHerHis] Wache!" Es wird im Scherz gesagt, aber es ist klar, dass das Wort sich von Ihrer weniger als prominenten Rolle in der Schlacht verbreitet hat ...;;Cenar esta noche con [From.GetTitledFirstName] y [From.GetHerHis] entourage. Talk pronto se convierte en la guerra reciente, y [From.GetFirstName] comienza a contar historias de batalla. "Y, me dijeron, el [Root.PrimaryTitle.GetRulerTitle] estaba allí mismo en el corazón de la batalla, o, al menos, en el corazón de [Root.GetHerHis] guardia!" Se dice en broma, pero está claro que la palabra se ha extendido de su papel menos que prominente en la batalla...;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20018;"Please, let us not speak of war or politics at the table.";"S'il vous plaît, ne parlons pas de la guerre ou de la politique à la table".;"Bitte, lass uns nicht von Krieg oder Politik am Tisch sprechen.";;"Por favor, no hablemos de guerra o política en la mesa".;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20021;A grand ceremony is being held in [Root.Capital.GetBaseName] to honour the fallen in the recent war. After the [Root.Religion.GetPriestTitle]s have made their blessings, others stand to speak of the bravery of the leaders. [From.GetTitledFirstName] is next, and he speaks of the mightiest falling whilst the timid watch on unmoved. [From.GetFirstName] stares at you with barely concealed anger as he says these words, and you realise that you are the weak spectator of whom he speaks. It seems news of your cowardice in the war has spread...;Une grande cérémonie se tient dans [Root.Capital.GetBaseName] pour honorer les morts dans la guerre récente. Une fois que [Root.Religion.GetPriestTitle] ont fait leurs bénédictions, d'autres peuvent parler de la bravoure des leaders. [From.GetTitledFirstName] est le suivant, et il parle de la chute la plus puissante tandis que la montre timide sur impassible. [From.GetFirstName] vous regarde avec une colère à peine dissimulée alors qu'il dit ces mots, et vous vous rendez compte que vous êtes le faible spectateur dont il parle. Il semble que les nouvelles de votre lâcheté dans la guerre se sont répandues...;Eine große Zeremonie wird in [Root.Capital.GetBaseName] gehalten, um die gefallenen in den letzten Krieg zu ehren. Nachdem die [Root.Religion.GetPriestTitle] ihre Segnungen gemacht haben, stehen andere, um von der Tapferkeit der Führer zu sprechen. [Von.GetTitledFirstName] ist der nächste, und er spricht von dem mächtigsten fallen, während die schüchterne Uhr auf unbewegt. [From.GetFirstName] starrt dich mit kaum verborgenem Zorn an, als er diese Worte sagt, und du weißt, dass du der schwache Zuschauer bist, von dem er spricht. Es scheint, Nachrichten von deiner Feigheit im Krieg hat sich verbreitet...;;Una gran ceremonia se celebra en [Root.Capital.GetBaseName] para honrar a los caídos en la reciente guerra. Después de que los [Root.Religion.GetPriestTitle] hayan hecho sus bendiciones, otros hablan de la valentía de los líderes. [From.GetTitledFirstName] es el siguiente, y él habla de la caída más poderosa mientras que el reloj tímido en unmoved. [From.GetFirstName] te mira con una ira apenas oculta mientras dice estas palabras, y te das cuenta de que eres el espectador débil de quien habla. Parece que las noticias de tu cobardía en la guerra se han extendido...;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20021;The shame!;La honte!;Die Schande!;;¡La verguenza!;;;;;;;;;x;,,,,,,,,,,
# WAR STRATEGY EVENTS #
EVTDESC_ROBMODCOMBAT_30001;Your [Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName] and your commanders have gathered around the war table to discuss strategy. You may choose from a number of different approaches, each conferring benefits and drawbacks.\nNB. Be aware that you cannot change strategy for 12 months after making this decision.;Votre [Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName] et vos commandants se sont rassemblés autour de la table de guerre pour discuter de la stratégie. Vous pouvez choisir parmi plusieurs approches différentes, chacune conférant des avantages et des inconvénients. Soyez conscient que vous ne pouvez pas modifier la stratégie pendant 12 mois après avoir pris cette décision.;Ihr [Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName] und deine Kommandanten haben sich um den Kriegstisch versammelt, um Strategie zu diskutieren. Sie können aus einer Reihe von verschiedenen Ansätzen wählen, die jeweils Vorteile und Nachteile verleihen. Seien Sie sich bewusst, dass Sie die Strategie für 12 Monate nicht ändern können, nachdem Sie diese Entscheidung getroffen haben.;;Su [Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName] y sus comandantes se han reunido alrededor de la mesa de guerra para discutir la estrategia. Usted puede elegir entre una serie de enfoques diferentes, cada uno de los beneficios que le confieren y los inconvenientes. Tenga en cuenta que no puede cambiar de estrategia durante 12 meses después de tomar esta decisión.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_30001;"We will strike a §Ybalance§! between offence and defence.";"Nous allons trouver un équilibre entre l'infraction et la défense".;"Encontraremos un equilibrio entre la ofensiva y la defensa".;;"Wir werden ein Gleichgewicht zwischen Vergehen und Verteidigung schaffen.";;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPA_ROBMODCOMBAT_30001;The §YBalanced§! strategy favours flexibility, and will confer no advantages or disadvantages\nA good option if you are fairly evenly matched with your opponent(s);Vous pouvez choisir de ne pas adopter de stratégie spécifique, ce qui favorise la flexibilité à la place. Cela n'accordera aucun avantage ou inconvénient, un bon choix si vous êtes assez égal à celui de votre adversaire (s);Sie können wählen, keine spezifische Strategie aufzunehmen, stattdessen Flexibilität zu begünstigen. Dies wird keine Vorteile oder Nachteile, eine gute Wahl, wenn Sie ziemlich gleichmäßig mit Ihrem Gegner (s);;Usted puede optar por no tomar ninguna estrategia específica, favoreciendo la flexibilidad en su lugar. Esto no dará ninguna ventaja o desventaja, una buena opción si está bastante igualado con su oponente (s);;;;;;;;;x;,,,,,,,,,,
EVTOPTB_ROBMODCOMBAT_30001;"We should §Yattack§! our enemy hard.";""Nous devrions attaquer notre ennemi dur.";"Wir sollten unseren Feind hart anzugreifen.";;"Debemos atacar a nuestro enemigo con fuerza.";;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPB_ROBMODCOMBAT_30001;The §YAssault§! strategy increases your movement speed slightly and makes you stronger when attacking enemy positions and settlements. However, it incurs a penalty to defending and also makes your own settlements somewhat easier to besiege\nA good option if you want to take the fight to the enemy, and don't expect them to reach your lands;La stratégie d'assaut augmente légèrement la vitesse de déplacement et vous améliore en attaquant les positions ennemies et les colonies, mais elle entraîne une peine de défense et rend ses établissements plutôt faciles à assiéger. Une bonne option si vous voulez prendre la bagarre à l'ennemi, et ne vous attendez pas à ce qu'ils atteignent vos terres;Die Assault-Strategie erhöht die Bewegungsgeschwindigkeit leicht und macht dich besser, wenn du feindliche Positionen und Siedlungen angreifst, aber es entsteht eine Strafe zur Verteidigung und macht auch deine eigenen Siedlungen etwas leichter zu belagern. Eine gute Option, wenn du den Kampf gegen den Feind nehmen willst, und erwarte nicht, dass sie deine Länder erreichen;;La estrategia de asalto aumenta ligeramente tu velocidad de movimiento y te hace mejor al atacar posiciones enemigas y asentamientos, pero incurre en un castigo a la defensa y también hace que tus propios asentamientos sean más fáciles de asediar. Una buena opción si quieres llevar la pelea al enemigo, y no esperes que lleguen a tus tierras;;;;;;;;;x;,,,,,,,,,,
EVTOPTC_ROBMODCOMBAT_30001;"Repair our holdfasts and prepare to §Ydefend§! our lands.";"Réparez nos holdfasts et préparez-vous à défendre nos terres".;"Reparieren Sie unsere Holdfasts und bereiten Sie sich vor, um zu verteidigen.";;"Repare nuestros asimientos y prepárese para defenderse.";;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPC_ROBMODCOMBAT_30001;The §YDefend§! strategy makes you fight harder on the defence (especially in strategic positions), and also makes your settlements harder to take. However, you will suffer a penalty on the attack, and movement speed will be reduced\nA good option if the enemy has superior numbers and you expect them to attack your lands. You may want to choose a strategic position and do battle on your terms;La stratégie Defend vous permet de lutter plus fort sur la défense (surtout dans les positions stratégiques), et rend ses établissements plus difficile à prendre. Cependant, vous souffrirez d'une pénalité lors de l'attaque, et la vitesse de déplacement sera réduite. Une bonne option si l'ennemi a des nombres supérieurs et vous attendez à ce qu'ils attaquent vos terres. Vous voudrez peut-être choisir une position stratégique et faire la bataille sur vos termes;Die Defend-Strategie macht Sie kämpfen härter auf die Verteidigung (vor allem in strategischen Positionen), und macht auch Ihre Siedlungen schwerer zu nehmen. Allerdings werden Sie eine Strafe auf den Angriff leiden, und die Bewegungsgeschwindigkeit wird reduziert. Eine gute Option, wenn der Feind überlegene Zahlen hat und Sie erwarten, dass sie Ihr Land angreifen. Vielleicht möchten Sie eine strategische Position wählen und Schlacht auf Ihre Bedingungen machen;;La estrategia Defender te hace luchar más duro en la defensa (especialmente en posiciones estratégicas), y también hace que tus asentamientos sean más difíciles de tomar. Sin embargo, usted sufrirá una pena en el ataque, y la velocidad de movimiento se reducirá. Una buena opción si el enemigo tiene números superiores y esperas que ataquen tus tierras. Es posible que desee elegir una posición estratégica y hacer la batalla en sus términos;;;;;;;;;x;,,,,,,,,,,
EVTOPTD_ROBMODCOMBAT_30001;What are the other options?;Quelles sont les autres options?;Was sind die anderen Optionen?;;¿Cuáles son las otras opciones?;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPD_ROBMODCOMBAT_30001;More specialised strategies are available by choosing this option;Des stratégies plus spécialisées sont disponibles en choisissant cette option;Durch die Auswahl dieser Option stehen Ihnen spezielle Strategien zur Verfügung;;Estrategias más especializadas están disponibles al elegir esta opción;;;;;;;;;x;,,,,,,,,,,
EVTOPTE_ROBMODCOMBAT_30001;"We §Ystorm§! their defences, and decide this war before it has begun.";"Nous battons leurs défenses".;"Wir stürmen ihre Verteidigung.";;"Atemorizamos sus defensas".;;;;;;;;;x;,,,,,,,,,,
